prompt,completion
Diagnostic laparotomy,Mở bụng chẩn đoán
Diagnostic techniques,Kỹ thuật chẩn đoán
Diagonal branch,Nhánh chéo
Dialysis,Lọc
Diameter of the eye cavity,Đường kính gian hốc mắt
Diaphragmatic dome,Vòm hoành
Diaphragmatic,Hernia thoát vị hoành
Diarrhoea,Tiêu chảy
Diastolic,Tâm trương
Diastolic heart failure (DHF),Suy tim tâm trương (DHF)
DIC,DIC
Differential diagnosis,Chẩn đoán phân biệt
Differentiating sign,Dấu hiệu phân biệt
Difficulty swallowing,Khó nuốt
Diffuse coccidioidomycosis,Bệnh nấm coccidioidomycosis khuếch tán
Diffuse disturbance,Rối loạn khuếch tán
Diffuse lymphadenopathy,Chứng hạch lympho khuếch tán
Digital gangrene,Hoại thư kỹ thuật số
Digital rectal exam,Khám trực tràng kỹ thuật số
Digoxin immune fab,Kháng thể kháng digoxin
Dimorphic,Lưỡng hình
Dipstick (test),Que thử thai
Dipstick urine,Que thử thai bằng nước tiểu
Direct antiglobulin (Coombs’),Test xét nghiệm kháng globulin trực tiếp
Direct immunofluorescence,Miễn dịch huỳnh quang trực tiếp
Direct-current cardioversion,Khử rung bằng dòng điện một chiều
Discharge,Xuất viện
Disease incidence,Tỷ suất mắc mới
Disease prevalence,Tỷ suất hiện mắc
Disease progression,Tiến triển bệnh
Disease-modifying antirheumatic drugs (DMARD),Nhóm thuốc chống thấp khớp tác dụng chậm
Dispersion,Phân tán
Disruption,Gián đoạn
Disseminated,Lan tỏa
Disseminated infection,Lây nhiễm lan tỏa
Disseminated intravascular coagulation (DIC),Đông máu nội mạch lan tỏa
Dissemination,Sự lan tỏa
Distal part,Đoạn xa
Diverticulosis,Viêm túi thừa
Divided doses,Chia liều
Doffing,Loại bỏ
Donors,Người hiến
Doppler imaging,Siêu âm màu Doppler
Dorsum of tongue,Lưng lưỡi
Dosing,Liều lượng
Double-balloon enteroscopy,Nội soi ruột non bóng đôi
Double-blind,Mù đôi
Doxycycline,Doxycycline
Drain,Dẫn lưu
Droplet,Giọt nước bọt trong không khí
Drought,Hạn hán
Drowsiness,Buồn ngủ
Drug dependence,Phụ thuộc thuốc
Drug overdose,Dùng thuốc quá liều
Drug therapy,Liệu pháp thuốc
Drug-eluting stent,Stent phủ thuốc
Drug-induced fever,Sốt do thuốc
Drugs,Thuốc
Dry cough,Ho khan
Dry mucous membrane,Khô niêm mạc
Duct,Ống dẫn
Ductal carcinoma in situ,Ung thư biểu mô ống dẫn sữa tại chỗ
Dullness to percussion,Gõ đục vừa
Dumping syndrome,Hội chứng dumping
Duplex ultrasound (examination),Siêu âm duplex (thăm khám)
Duplication cysts,U nang kép
Dupuytren’s contracture,Bệnh co thắt Dupuytren
Duration of,Thời gian
Duration of symptom,Thời gian triệu chứng
Dysarthria,Chứng loạn cận ngôn/nói lắp
Dyskeratosis congenita,Bệnh lão hóa sớm
Dyslipidaemia,Rối loạn mỡ máu
Dysphagia,Chứng khó nuốt
Dyspnoea on exertion,Khó thở khi gắng sức
"Dyspnoea, dyspnoe, shortness of breath",Khó thở
Early satiety,Mau no
Ecchymose,Vết bầm máu
Echocardiography,Siêu âm tim
Eclampsia,Chứng kinh giật
Ectopic pregnancy,Thai ngoài tử cung
Eczema vaccinatum,Tiêm vắc-xin chàm
Edentulous patient,Bệnh nhân mất răng
EEG,Điện não đồ
Effectiveness,Tính hiệu lực
Efficacy,"Hiệu lực, hiệu quả"
Efficiency,Tính hiệu quả
eGFR,Mức lọc cầu thận ước tính
Ejaculation,Xuất tinh
Elderly,Người già
Elderly patient,Bệnh nhân cao tuổi
Electrocardiogram (ECG),Điện tâm đồ (ECG)
Electrolyte imbalance,Mất cân bằng điện giải
Electrolytes panel,Điện giải đồ
Electron micrograph,Ảnh hiển vi điện tử
Electron microscopy,Chụp hiển vi điện tử
Elevated cardiac enzyme,Men tim tăng
Elevated pulmonary circulation,Tăng tuần hoàn phổi
Elevation,Tăng cao
ELISA,ELISA
ELISA study,Nghiên cứu ELISA
Elliptocytosis,Bệnh hồng cầu hình bầu dục
Emergency department,Phòng cấp cứu
Emergency medical intervention,Can thiệp y tế cấp cứu
Emergency theatre list,Danh sách phẫu thuật khẩn cấp
Emesis,Nôn
Emphysema,Khí phế thủng
Empirical,Theo kinh nghiệm
Empirical antibiotic,Sử dụng kháng sinh theo kinh nghiệm
Empyema,Tràn mủ màng phổi
Encephalitis,Viêm não
Encephalopathy,Bệnh não
End expiratory occlusion test,Nghiệm pháp ngừng thở cuối thì thở ra
End point,Tiêu chí đánh giá
Endemic,Lưu hành dịch
Endemic area,Vùng lưu hành dịch
Endemicity,"Tính đặc hữu, tính địa phương"
Endocarditits,Viêm nội tâm mạc nhiễm trùng
Endocrine,Nội tiết
Endometriosis,Lạc nội mạc tử cung
Endometrium,Nội mạc tử cung
Endomyocardial biopsy (EMB),Sinh thiết cơ tim
Endophthalmitis,Viêm nội nhãn
End-organ damage,Tổn thương suy tạng
Endoscopic management of bleeding,Nội soi cầm máu
Endoscopic retrograde cholangiopancreatography (ERCP),Nội soi mật tuỵ ngược dòng
Endoscopic ultrasound,Nội soi siêu âm
Endoscopy,Nội soi
Endospores,Nội bào tử vi khuẩn
Endothelial,Lớp nội mạc
Endothelial cell,Tế bào nội mô
Endothelial dysfunction,Rối loạn chức năng nội mô
Endothelium,Màng trong
End-stage liver disease,Bệnh gan giai đoạn cuối
Enhanced urinalysis,Phân tích nước tiểu tăng cường
Enlarged neck lymph nodes,Phì đại hạch bạch huyết vùng cổ
Enteric fever,Sốt thương hàn
Environmental water,Môi trường nước
Enzyme,Enzym
Enzyme immunoassay (EIA),Thử nghiệm miễn dịch enzym (EIA)
Eosinophils,Bạch cầu ái toan
Epidemic,Dịch bệnh
Epidemiological,Dịch tễ
Epidemiological investigation,Điều tra dịch tễ học
Epiglottis,Nắp thanh quản
Epiglottis,Thanh thiệt
Epiglottitis,Viêm nắp thanh thiệt
Episcleritis,Viêm thượng củng mạc
Epistaxis,Chảy máu cam
Epithelial,(thuộc) biểu mô
Epithelial tissue,Biểu mô
Epstein-barr virus (EBV),Vi-rút epstein-barr (EBV)
Eradicated,Loại trừ hoàn toàn
Erythema,Ban đỏ
Erythema multiforme,Ban đỏ đa dạng
Erythema nodosum,Ban đỏ nốt
Erythema nodosum,Hồng ban nút
Erythematous,Ban đỏ
Erythrocyte sedimentation rate,Tốc độ lắng hồng cầu
Erythrocyte sedimentation rate (ESR),Tốc độ lắng hồng cầu (ESR)
Erythromycin,Erythromycin
Erythropoiesis,Quá trình sinh hồng cầu
Eschar,Vảy
Esopageal web,Màng ngăn thực quản
Ethmoid sinus,Xoang sàng
Ethmoid bulla,Bóng sàng
Ethnicity,Sắc tộc
European society of cardiology,Hiệp hội tim mạch châu âu
Eustachian tube,Ống vòi nhĩ
Exacerbation,Trở nặng
Excessive salivation,Tiết nước bọt quá mức
Excisional,Cắt bỏ
Excreation,Bài xuất
Excreta,Phân
Excretion,Bài tiết
Exercise stress test,Nghiệm pháp gắng sức
Exophthalmos,Lồi mắt
Exploratory laparotomy,Mở thăm dò ổ bụng
Extensive,Mở rộng
Extensive contact tracing,Theo dấu đối tượng phơi nhiễm mở rộng
Extrahepatic,Ngoài gan
Extranodal,Ngoài nút xoang
Extrapulmonary,Ngoài phổi
Extrapulmonary tuberculosis,Bệnh lao ngoài phổi
Extrathoracic,Ngoài ngực
Exudates,Dịch tiết
Facial oedema,Phù nề mặt
Fact sheet,Tờ thông tin
Factitious fever,Sốt giả
Faecal,(thuộc) Phân
Faecal excretion,Bài tiết qua phân
Faecal impaction,U phân
Faecal occult blood,Máu ẩn trong phân
Faecal occult blood testing,Xét nghiệm máu ẩn trong phân (fobt)
Failure to thrive,Tăng cân chậm
Fainting,Ngất xỉu
False-positive,Dương tính giả
"Family history (FHx, Fam hx, FH, F/H, FH-)",Tiền sử gia đình
Fanconi anaemia,Thiếu máu fanconi
Fasciculations,Rung cơ cục bộ
Fatality rate,Khả năng tử vong
Fatigue,Mệt mỏi
Fatigue severity scale (FSS),Thang đo mức độ mệt mỏi (FSS)
Fatigue syndrome,Hội chứng mệt mỏi
Fatty liver disease,Bệnh gan nhiễm mỡ
FBC,Công thức máu
FBC with differential,Công thức máu có đếm thành phần bạch cầu
Febrile illness,Ốm sốt
Fellow,Nghiên cứu sinh
Fellow of the american college of physicians (FACP),Viện y sĩ nội khoa hoa kỳ (FACP)
Femoral artery,Động mạch đùi
Fetal morphology,Hình thái học thai
Fever,Sốt
Fever of unknown origin (FUO),Sốt không rõ nguyên nhân
Fibrin degradation products,Sản phẩm chia tách fibrin
Fibrin deposition,Kết tủa fibrin
Fibrinogen,Fibrinogen
Fibrocavitary,Fibrocavitary
Fibrocellular tumor,U xơ
Fibroid induration,Bệnh xơ
Fibroids,Dạng xơ
Fibrosis,Chứng xơ hóa
Fibrosis,Xơ hóa
Fibrous tissue,Mô sợi
Figure,Hình
Filipinos,Người philippine
Final assessment,Đánh giá cuối kỳ/bài
Fine-needle biopsy,Sinh thiết dùng kim nhỏ
First international consensus definitions for sepsis and septic shock,Định nghĩa đầu tiên được quốc tế đồng thuận về nhiễm trùng huyết và sốc nhiễm trùng
First-line treatment,Điều trị đầu tay
First-line regimen,Lựa chọn đầu tay
First-line therapy,Liệu pháp đầu tay
First-line treatment,Điều trị bậc 1
Fixed and mid-dilated = mydriatic,Giãn đồng tử
Fixed drug eruption,Ban đỏ nhiễm sắc cố định
Flaky skin,Da nổi bông
Flank pain,Đau hông
Flat neck veins,Tình trạng căng (giãn) tĩnh mạch cổ
Flexible fibre-optic nasopharyngoscopy,Soi vòm họng sợi quang học mềm
Floor of mouth,Sàn miệng
Flow cytometry,Phân tích tế bào theo dòng chảy
Fluid,Dịch
Fluid challenge test,Truyền dịch
Fluid overload,Quá tải dịch
Fluid restriction,Hạn chế dịch
Fluid resuscitation,Phục hồi thể dịch
Fluorodeoxyglucose,Fluorodeoxyglucose
Fluorodeoxyglucose positron emission tomography (FDG-PET),Chụp cắt lớp phát xạ pozitron fluorodeoxyglucose
Fluorodeoxyglucose-PET,Fluorodeoxyglucose-PET
Fluoroquinolone,Fluoroquinolone
Flushed,Đỏ bừng
Focal,"(thuộc) tiêu điểm, (thuộc) ổ"
Focal deficit,Suy giảm cục bộ
Focal neurological deficit,Suy giảm thần kinh cục bộ
Focal neurological deficits,Dấu hiệu thần kinh khu trú
Focal or diffuse gland enlargement,Phì đại các tuyến tập trung hay lan tỏa
Folate,Folate
Folate deficiency,Thiếu hụt folate
Fomites,Đồ vật truyền bệnh
Food and drug administration (FDA),Cơ quan quản lý thực phẩm và dược phẩm hoa kỳ
Foodborne,Do đồ ăn
Foot drop,Bàn chân rũ
For example,Ví dụ
Forearm fracture,Gãy xương cẳng tay
Foreign body,Dị vật
Formalin,Formalin
Formulation,Dạng bào chế
Fornix fluid,Dịch cùng đồ
Foundation doctor,Bác sĩ tập sự
Four times daily,Bốn lần mỗi ngày
Fracture,Gãy
Fractured teeth,Gãy răng
Fragility fracture,Gãy xương do xương yếu
Framingham risk score,Thang điểm Framingham
Francisella tularensis,Vi khuẩn Francisella tularensis
Free radical,Gốc tự do
Fresh frozen plasma,Huyết tương tươi đông lạnh
From human to human,(lây) từ người sang người
Full blood count,Tổng phân tích tế bào máu ngoại vi
Full blood count (FBC),Xét nghiệm tổng phân tích tế bào máu
Fulminant,"Ác tính, tối cấp"
Fulminant liver failure,Suy gan tối cấp
Fungaemia,Nhiễm nấm huyết
Fungal,Nấm
Fungus,Nấm
G6PD,Men G6PD
Gallop,Ngựa phi
Gallstones,Sỏi mật
Gametocyte,Thể giao bào
Gamma phage assay,Xét nghiệm thể thực khuẩn gamma
Gamma-globulin,Gamma-globulin
Gamma-GT,Gamma-GT
Gas exchange,Sự trao đổi khí
Gastrectomy,Cắt dạ dày
Gastric decontamination,Loại bỏ chất độc trong dạ dày
Gastric lavage,Rửa dạ dày
Gastric fistula,Rò dạ dày
Gastritis heamorrhage,Sung huyết dạ dày
Gastroenteritis,Viêm dạ dày ruột
Gastroenterology,Vị tràng học
Gastrointestinal tract (GI),Đường tiêu hóa (GI)
Gastrointestinal infections,Nhiễm trùng từ đường tiêu hóa
Gastro-oesophageal junction,Đường nối dạ dày-thực quản
Gastro-oesophageal reflux disease (GORD/GERD),Bệnh trào ngược dạ dày thực quản
Gene rearrangements,Tái cấu trúc gen
General population,Dân số nói chung
Generalised weakness,Yếu toàn thân
Genetic makeup,Cấu tạo di truyền
Genitourinary system,Hệ niệu sinh dục
Genome,Hệ gen
Genome,Bộ gen
Genotypes,Kiểu gen
Genus,Chi
GI bleeding,Xuất huyết đường tiêu hóa
Giant cell arteritis (GCA),Viêm động mạch tế bào khổng lồ
Giardiasis,Bệnh nhiễm khuẩn Giardias
Glanders,Bệnh Glanders
Glandular,Tuyến
Glandular fever,Bệnh viêm tuyến bạch cầu
Glass slide or porcelain slide,Phiến đá
Gliding motility,Chuyển động trượt
Globulin,Globulin
Globys pharyneous,Cảm giác nghẹn trong cổ họng
Glomerular filtration rate (GFR),Mức lọc cầu thận
Glomerulonephritis,Viêm cầu thận
Glomus tumour,U cuộn mạch
Glucose,Đường glucose
Glucose-6-phosphate dehydrogenase,Men G6PD
Glutathione,Glutathione
Goal-directed therapy,Liệu pháp trúng đích
Goitre,Goitre
Gouty arthritis,Viêm khớp gút
GP,Bác sĩ đa khoa
GP IIb/IIIa inhibitor,Chất ức chế GP IIb/IIIa
GP IIb/IIIa receptor,Thụ thể GP IIb/IIIa
Gradient,Chênh lệch/gradient
Graft-versus-host disease,Bệnh lý mảnh ghép chống lại vật chủ
Granular induration,Xơ cứng hạt
Granulocyte,Bạch cầu hạt
Granuloma,U hạt
Great epiploon,Mạc nối lớn
Grittiness,Cảm giác cộm
Group a betahemolytic streptococcus,Liên cầu khuẩn tan máu beta nhóm a
Growth hormone (GH),Hoóc-môn tăng trưởng (GH)
Grunting,Khò khè
Guaiac,Guaiac
Guaiac-positive,Dương tính với guaiac
Guidance,Hướng dẫn
Guide,Hướng dẫn
Guidelines,Hướng dẫn
Guidewire,Dây dẫn
Guillain-barre syndrome,Hội chứng guillain-barre
Gynaecomastia,Nữ hóa tuyến vú
H antigen,Kháng nguyên H
Haemagglutinin,Kháng nguyên ngưng kết hồng cầu
Haemangioma,U máu
Haematemesis,Nôn ra máu
Haematocrit,Thể tích khối hồng cầu
Haematological malignancies,Bệnh học máu ác tính
Haematological malignancy,Bệnh học máu ác tính
Haematopoiesis,Sự tạo huyết
Haematuria,Đái máu
Haemochromatosis,Bệnh thừa sắt (chứng nhiễm sắc tố sắt)
Haemodialysis,Lọc máu
Haemodynamic stability,Huyết động ổn định
Haemoglobin,Haemoglobin
Haemoglobin count,Chỉ số haemoglobin
Haemoglobinopathy,Bệnh huyết sắc tố
Haemoglobinuria,Đái ra huyết cầu tố
Haemolysis,Chứng huyết tán
Haemolytic anaemia,Thiếu máu huyết tán
Haemolytic uraemic syndrome,Hội chứng huyết tán tăng ure máu
Haemoptysis,Ho ra máu
Haemorrhage,Xuất huyết
Haemosiderosis,Chứng nhiễm hemosiderin
Hair loss,Rụng tóc
Hairy cell leukaemia,Bệnh bạch cầu tế bào tóc
Hand-foot-and-mouth disease,Bệnh chân-tay-miệng
Hantavirus,Hantavirus
Haptoglobin,Haptoglobin
Head,Đầu
Head bobbing,Đầu lắc
Head lice,Chấy/chí
"Head, eyes, ears, nose, and throat (heent)","Đầu, mắt, tai, mũi, họng"
Headache,Đau đầu
Healthcare professional,Nhân viên y tế
Healthcare workers,Nhân viên y tế
Healthcare-associated pneumonia (HCAP),Viêm phổi kết hợp với chăm sóc y tế
Heart,Tim
Heart angioplasty,Thông mạch tim
Heart cath,Thông tim
Heart failure,Suy tim
Heart murmur,Tiếng thổi tim
Heart rate,Nhịp tim
Heart sound,Tiếng tim
Heat stroke,Say nắng
Heaves,Thở hổn hển
Hepatic encephalopathy,Bệnh não gan
Hepatic failure,Suy gan
Hepatic functions,Chức năng gan
Hepatic ischaemic damage,Viêm gan do thiếu máu cục bộ
Hepatic necrosis,Hoại tử gan
Hepatitis,Viêm gan
Hepatitis A virus (HAV),Vi-rút viêm gan A (HAV)
Hepatitis B,Viêm gan B
Hepatitis C virus (HCV),Vi-rút viêm gan C (HCV)
Hepatobiliary,Gan- ống mật
Hepatocellular carcinoma,Ung thư biểu mô tế bào gan
Hepatocytes,Tế bào gan
Hepatoma,Ung thư gan
Hepatomegaly,Chứng gan to
Hepatorenal syndrome,Hội chứng gan thận
Hepatosplenomegaly,Chứng to gan lách
Herd immunity,Khả năng miễn dịch cộng đồng
Hereditary haemorrhagic telangiectasia,Giãn mao mạch chảy máu có tính chất di truyền
Hereditary spherocytosis,Bệnh hồng cầu hình bi di truyền
Hernia incarceration,Thoát vị nghẹt
Herpes simplex virus (HSV),Vi-rút Herpes simplex (HSV)
Hiatus hernia,Thoát vị khe thực quản
High consequence infectious diseases,Bệnh truyền nhiễm gây hậu quả nặng nề
High dependency unit,Khoa hỗ trợ chức năng hoạt động
High plasma renin activity renin,Hoạt động trong huyết tương
High power field (HPF),Trường công suất lớn (HPF)
Hilar,Rốn
Hilar adenopathy,Hạch bạch huyết ở rốn (phổi)
Hip,Khớp háng
Hispanics,Người gốc la tinh
Histiocytes,Mô bào
Histiocytic,Thuộc mô bào
Histopathology,Mô bệnh học
Histoplasmosis,Bệnh nhiễm do hít phải bào tử nấm
Historical considerations,Xem xét tiền sử
History,Tiền sử
HIV infection,Nhiễm HIV
Hives,Nổi mề đay
Hoarseness,Khàn giọng
Hodgkin’s cells,Tế bào hodgkin
Homocysteinuria,Homocystein niệu
Homogenous echo pattern,Cấu trúc âm đồng nhất
Hookworm,Giun móc
Hospital-based,Qua bệnh viện
Hospital-based epidemics,Dịch bệnh qua bệnh viện
Hospitalisation,"Nhập viện, nằm viện"
Hospitalised,"Nhập viện, nằm viện"
Hosts,Vật chủ
Human body louse,Chấy rận trên cơ thể người
Human immunodeficiency virus (HIV),Vi-rút gây suy giảm miễn dịch ở người (HIV)
Human leukocyte antigen (HLA),Kháng nguyên bạch cầu ở người
Human mycoplasmas,Mycoplasmas ở người
Human normal immunoglobulin,Kháng thể bình thường ở người
Humeral fracture,Gãy xương cánh tay
Humoral,Thể dịch
Humoral immune system,Hệ miễn dịch thể dịch
Humoral responses,Đáp ứng thể dịch
Hx,Tiền sử
Hx suggests,Tiền sử cho thấy
Hydration,Bù nước
Hydroxyethyl starch solutions,Dung dịch hydroxyethyl tinh bột
Hygiene,Vệ sinh
Hyperbilirubinaemia,Chứng tăng bilirubin huyết
Hyperchromic,Tăng sắc
Hyperechoic,Tăng âm
Hyperemesis gravidarum,Nôn nghén
Hypereosinophilia,Tăng bạch cầu ái toan
"Hyperglycaemia, hyperglycemia",Tăng đường huyết
Hyperinflation (hyperinflated lungs),Tăng ứ khí (phổi tăng ứ khí)
"Hyperkalaemia, hyperkalemia",Tăng kali huyết
Hypermetabolic,Tăng chuyển hóa
Hyperparasitaemia,Tăng ký sinh trùng trong máu
Hyperparathyroidism,Cường cận giáp
Hyperparathyroidism,Cường cận giáp
Hyperpigmentation,Tăng sắc tố
Hyperplasia,Tăng sản
Hypersegmented,Phân nhiều đoạn
Hypertension (HTN),Tăng huyết áp
Hypertensive emergency,Tăng huyết áp cấp cứu
Hypertensive left ventricular failure,Suy tâm thất trái tăng huyết áp
Hyperthyroidism,Cường giáp
Hyperuricaemia,Tăng axit uric máu
Hyperventilation,Tăng thông khí
Hyphae,Sợi nấm
Hypo/hyper-volaemic,Giảm/tăng thể tích tuần hoàn
Hypoalbuminaemia,Giảm albumin huyết
Hypochromic,Nhược sắc
Hypocontracting oesophagus,Giảm nhu động thực quản
Hypoechoic,Giảm âm
Hypokalemia/kyperkalemia,Tăng/giảm kali máu
Hyponatraemia,Hạ natri máu
Hypoperfusion,Giảm tưới máu
Hypopituitarism,Giảm chức năng tuyến yên
Hypotension,Hạ huyết áp
Hypothalamus,Vùng dưới đồi
Hypothyroidism,Nhược giáp
Hypovolaemia,Giảm thể tích máu lưu hành
Hypoxia,Giảm oxy máu
Hyroid stimulating hormone (TSH),Hoóc-môn kích thích tuyến giáp
Iatrogenic,Tai biến y khoa do thầy thuốc- bệnh do thầy thuốc
Icosahedral,Khối hai mươi mặt
Icteric,Thuộc chứng vàng da
Icterus,Chứng vàng da
Idiopathic,Vô căn
IGA-TTG,IGA-TTG
IGG anti-HAV,IGG kháng HAV
IGM anti-HAV,IGM kháng HAV
IGM anti-hepatitis A virus (HAV) antibodies,Kháng thể IGM kháng vi-rút viêm gan A
IGM anti-hepatitis A virus serology,Huyết thanh IGM kháng vi-rút viêm gan A
Ileocaecal,Hồi manh tràng
Ileocecal valve,Van hồi manh tràng
Ileum,Hồi tràng
Illicit drug,Tiền chất gây nghiện
Illness,Ốm
Image,Hình ảnh
Imaging,Chụp hình ảnh
Immediate-release,Giải phóng tức thời
Immobilisation,Làm bất động
Immune functions,Chức năng miễn dịch
Immune globulin,Globulin miễn dịch
Immune response,Đáp ứng miễn dịch
Immunisation,"Tiêm chủng, tạo miễn dịch"
Immunisation schedules,Lịch tiêm chủng
Immunity,Sức đề kháng
Immunization schedule,Lịch tiêm chủng
Immunocompetent,Có sức đề kháng bình thường
Immunocompromised,Suy giảm miễn dịch
Immunodiffusion,Khuếch tán miễn dịch
Immunofluorescence assay (IFA),Phản ứng miễn dịch huỳnh quang
Immunogenic,Sinh miễn dịch
Immunoglobulin a-tissue transglutaminase,Transglutaminase mô a globulin miễn dịch
"Immunoglobulin, immune globulin","Immunoglobulin, globulin miễn dịch"
Immunological response,Đáp ứng miễn dịch
Immunomodulating drugs,Thuốc điều chỉnh miễn dịch
Immunosuppressants,Thuốc ức chế miễn dịch
Immunosuppressed,Ức chế miễn dịch
Immunosuppression,Ức chế miễn dịch
Immunosuppression,Sự ức chế miễn dịch
Impaired consciousness,Suy giảm ý thức
Improvement,Sự cải thiện
In combination with,Kết hợp với
In pregnancy,Đang mang thai
In stent restenosis,Tái hẹp trong stent
In the community,Trong cộng đồng
In the first trimester,Trong ba tháng đầu thai kỳ
In the second trimester,Trong ba tháng giữa thai kỳ
In the third trimester,Trong ba tháng cuối thai kỳ
In the us,Tại hoa kỳ
Inactivated,Khử hoạt tính
Inactivation,Khử hoạt tính
Inactive hypnozoite stage,Giai đoạn thể ngủ không hoạt động
Incidence,Tỷ lệ mắc mới
Incident cases,Ca bệnh mắc mới
Incisional hernias,Thoát vị qua đường mổ
Inconclusive,"Không thuyết phục, không đi đến kết luận"
Incontinence,Tiểu không tự chủ
Increased pulmonary artery pressure,Tăng áp phổi
Index case,Ca bệnh chỉ điểm
Index patient,Bệnh nhân chính
India ink stain,Nhuộm mực ấn độ
Indigestion,Khó tiêu
Induction therapy,Điều trị tấn công
Infant,Trẻ nhũ nhi
Infected,Nhiễm bệnh
Infected person,Người bị nhiễm bệnh
Infections,"Sự nhiễm trùng, nhiễm khuẩn"
Infectious,"Nhiễm trùng, nhiễm khuẩn"
Infectious diarrhea (stomach flu),Tiêu chảy nhiễm trùng
Infectious diseases,Bệnh truyền nhiễm
Infectious mononucleosis,Tăng bạch cầu đơn nhân do nhiễm trùng
Inferior turbinate,Cuốn mũi dưới
Inferior vena cava,Tĩnh mạch chủ dưới
Infiltrate,Thâm nhiễm
Infiltration,Sự thâm nhiễm
Inflammation,Tình trạng viêm
Inflammatory,Viêm
Inflammatory response,Phản ứng viêm
Influenza,Cúm
Influenza infection,Nhiễm cúm
Influenza vaccine,Vắc-xin cúm
Influenza virus,Vi-rút cúm
Influenza-like,Giống cúm
Infratentorial structure,Cấu trúc tầng dưới lều
Ingestion,Ăn vào
Inguinal,Vùng bẹn
Inguinal hernia,Thoát vị bẹn
Inhalation,Hít vào
Innate immune system,Hệ miễn dịch bẩm sinh
Inner city population,Quần thể nội đô
Inoculation,Tiêm chủng
Inoculum,Thuốc tiêm chủng
Inotrope,Trợ tim
Inpatients,Bệnh nhân nội trú
Insomnia,Chứng mất ngủ
Inspired,Truyền cảm hứng
Institute for Optimum nutrition (ION),Viện dinh dưỡng Optimum
Insulin-sensitising,Nhạy cảm với insulin
Intensive care unit (ICU),Đơn vị chăm sóc tích cực
Intercostal space,Khoang liên sườn
Interface hepatitis,Viêm gan bề mặt
Interferon gamma,Interferon gamma
Interim guidelines,Hướng dẫn tạm thời
Intermittent,Thành từng đợt
Intermittent claudication,Đau cách hồi
International normalised ratio (INR),Chỉ số bình thường hóa quốc tế
Interquartile range (IQR),Khoảng tứ phân vị
Interstitial infiltrate,Thâm nhiễm mô kẽ
Interstitial nephritis,Viêm mô thận
Intertrochanteric fracture,Gãy liên mấu chuyển
Interventional radiology,Điện quang can thiệp
Intestinal malrotation,Xoay ruột không bình thường
Intestinal obstruction,Tắc ruột
Intestine,Ruột
Intra-abdominal,Trong bụng
Intracellular,Nội bào
Intracranial bleed,Xuất huyết nội sọ
Intracranial pressure (ICP),Áp lực nội sọ
Intractable seizures,Co giật kháng trị
Intraductal papillary mucinous neoplasm,U nhầy nhú trong ống tụy
Intramuscular,Trong bắp
Intraosseous,Trong xương
Intra-peritoneal,Trong màng bụng
Intrathecal,Nội mạc tủy
Intravascular coagulation,Đông máu nội mạch
Intravascular ultrasound (IVUS),Siêu âm trong lòng mạch
Intravenous,Tĩnh mạch
Intravenous drug use,Tiêm chích ma tuý
Intraventricular junction,Ngã tư não thất
Intrinsic renal cause,Nguyên nhân tại thận
Intubation,Đặt nội khí quản
Intussusception,Lồng ruột
Invasive,Xâm lấn
Invasive infection,Nhiễm trùng xâm lấn
Invasive sinus disease,Bệnh xoang xâm lấn
Investigation,Xét nghiệm/thăm dò
Iritis,Viêm mống mắt
Iron deficiency,Thiếu sắt
Iron deficiency anaemia,Thiếu máu do thiếu sắt
"Iron-overload syndrome, hemochromatosis",Hội chứng quá tải sắt
Irritable bowel syndrome (IBS),Hội chứng ruột kích thích
Ischaemia,Chứng thiếu máu cục bộ
Isoenzyme,Isoenzyme
Isolates,Cách ly
IVC (inferior vena cava),Tĩnh mạch chi dưới
Janeway lesions,Tổn thương Janeway
Jaundice,Chứng vàng da
Jaw,Quai hàm
Jejunum,Hỗng tràng
Joint pain,Đau khớp
Joint space narrowing,Hẹp khe khớp
Joint subluxation,Bán trật khớp
Joint wash out procedure,Thủ thuật làm sạch khớp
Joints,Khớp
Jugular,Thuộc cổ
Junctional rhythm,Nhịp bộ nối
Juvenile idiopathic arthritis (JIA),Bệnh viêm khớp dạng thấp ở thiếu niên
Juvenile nasopharyngeal angiofibroma,U xơ vòm mũi họng vị thành niên
Kayser-Fleischer rings,Vòng tròn Kayser-Fleischer
Ketoacidosis,Tình trạng nhiễm xeton axit
Kidneys,Thận
Killer cells,Tế bào tiêu diệt
Koplik spots,Đốm Koplik
Laboratory,Phòng thí nghiệm
Laboratory response network,Mạng lưới đáp ứng phòng thí nghiệm
Laboratory studies,Nghiên cứu trong phòng thí nghiệm
Lactic acidosis,Nhiễm axit lactic
Lacunar,Lỗ khuyết
Lacunar infarction,Nhồi máu não lỗ khuyết
Laennec’s disease,Bệnh laennec
Laparoscopy,Soi ổ bụng
Laparotomy,Thủ thuật mở bụng
Larval typhus,Ấu trùng sốt mò
Laryngitis,Viêm thanh quản
Lassa fever,Sốt lassa
Lateral,"Ngang, bên"
Lateral-middle wall,Thành bên-giữa
Lateral borders of the tongue,Hông lưỡi
Lead,Chì
Learning bite,Học phần
Left anterior descending artery,Động mạch xuống trước trái
Left anterior descending artery (LAD),Động mạch liên thất trước
Left arteria thoracica interna,Động mạch ngực trong trái
Left arytenoid,Sụn phễu trái
Left axis deviation,Trục lệch trái
